species_latin,stadium,indetermined,autorstring
Tomocerus minor,adult,FALSE,"(Lubbock, 1862)"
Tomocerus sp. juv.,juvenile,TRUE,NA
Tomocerus vulgaris,adult,FALSE,"(Tullberg, 1871)"
Toramus cf. pulchellus,adult,FALSE,NA
Trichiusa immigrata,adult,FALSE,NA
Trotomma pubescens,adult,FALSE,NA
Tychius picirostris,adult,FALSE,NA
Tychus pullus,adult,FALSE,NA
Vertagopus arboreus,adult,FALSE,"(Linnaeus, 1758)"
Vertagopus sp.,adult,TRUE,NA
Willemia anophthalma,adult,FALSE,"Börner, 1901"
Willemia denisi,adult,FALSE,"Mills, 1932"
Willemia intermedia,adult,FALSE,"Mills, 1934"
Willemia sp. juv.,juvenile,TRUE,NA
Willowsia nigromaculata,adult,FALSE,"(Lubbock, 1873)"
Xantholinus longiventris,adult,FALSE,NA
Xantholinus sp. A,adult,TRUE,NA
Xantholinus sp. B,adult,TRUE,NA
Xantholinus sp. (hunner),adult,TRUE,NA
Xenylla grisea,adult,FALSE,"Axelson, 1900"
Xenylla malayana,adult,FALSE,NA
Xenylla maritima,adult,FALSE,"Tullberg, 1869"
Xenylla mediterranea,adult,FALSE,"Gama, 1964"
Xenylla sp. juv.,juvenile,TRUE,NA
Xenylla welchi,adult,FALSE,"Folsom, 1916"
Xysticus sp.,adult,TRUE,NA
